nombre,idobjeto,idunidad,idProcesoCompra,idCubs
ENCENDEDORES,39600,4,1,10101501
ENCOMIENDA,25900,4,139,10101501
ENVASADORA DE LECHE,42220,4,170,10101501
ENVASADORA DE LIQUIDOS,42230,4,1,10101501
ENVASES PE JUGO-LECHE,35800,4,1,10101501
ENVOLTURA PLASTICA,35800,39,1,10101501
EOSINA AZUL DE METILENO MEDIO DE CULTIVO,35100,29,1,10101501
EQUIPO PARA LABORATORIO BIOQUIMICO,42430,4,1,10101501
ERLENMEYER,39520,4,1,10101501
ESCALERA,36400,4,1,10101501
ESCALERA DE ENTRENAMIENTO,39800,4,1,10101501
ESCOBA,39100,4,1,10101501
ESCOBILLON,39100,4,1,10101501
ESCRITORIO PARA OFICINA,42110,4,1,10101501
ESCURRIDOR DE PISO,39100,4,1,10101501
ESOMEPRAZOL,35210,24,1,10101501
ESPARADRAPO,39530,24,1,10101501
ESPATULA,36400,4,178,27111909
ESPATULA DE CEMENTO,39550,4,1,10101501
ESPATULA DE LABORATORIO,39520,4,1,10101501
ESPATULA PARA RESINA,39550,4,1,10101501
ESPEJO,39550,4,1,10101501
ESPEJO DE PARED,37200,4,127,10101501
ESTABILIZADOR DE TENSION,42900,4,30,10101501
ESTACION METEREOLOGICA,42430,4,90,10101501
ESTACION TOTAL ROBOTICA CON RTK,42430,4,90,10101501
ESTÁNDAR PROTEÍNA ALBÚMINA DE SUERO BOVINO (BSA),35100,29,1,10101501
ESTANTE MÓVIL PARA LIBROS (CARRO DE BIBLIOTECA),42110,4,64,24112007
ESTANTE PARA EXHIBICIÓN DE LIBROS,42110,4,64,24112007
ESTANTE PARA EXHIBICIÓN DE LIBROS,42110,4,64,24112007
ESTANTES AEREOS,42110,4,1,10101501
ESTERILIZADORES,42430,4,1,10101501
ESTICKER,33300,4,1,10101501
ESTUCHE DE MAQUILLAJE,35930,4,1,10101501
ESTUFA,42140,4,1,10101501
ESTUFA CON AGITACION,42430,4,1,10101501
ESTUFA INDUSTRIAL,42140,4,118,10101501
ETANOL,35251,4,1,10101501
ETANOL DESNATURALIZADO,35100,9,1,10101501
ETER DE PETROLEO,35100,29,1,10101501
EXTENSION DE MECHAS DE AUDIO,39600,15,113,10101501
EXTRACCION DE DESECHOS SOLIDOS,23500,14,31,10101501
EXTRUSORA PARA PALLETS,42220,4,1,10101501
EXTRUSORA PARA PELET,42200,4,86,10101501
EYECTORES DE SALIVA,39550,33,1,10101501
FASTENERS METÁLICOS 8MM CAJA DE 50 UNS,39200,24,3,10101501
FELPA,36930,4,1,10101501
FENOL,35100,29,1,10101501
FERROCIANURO DE POTASIO TRI-HIDRATADO,35100,29,1,10101501
FILTRO DE GASOLINA,39600,4,174,10101501
FILTRO FIBRA DE VIDRIO,39520,4,1,10101501
FILTRO PARA SEDIMENTOS,39600,4,1,10101501
FLETE,25100,4,1,10101501
FLORERO DE PLÁSTICO,35800,4,172,10101501
FLUXOMETRO PARA INODORO,39600,4,1,10101501
FOAMY,33100,37,1,10101501
FOLDER MANILA T/C,33100,18,1,10101501
FOLDER MANILA T/O,33100,18,1,10101501
FORMALDEHÍDO,35251,29,1,10101501
FOSFATO DE POTASIO MONOBÁSICO ANHÍDRIDO,35100,29,1,10101501
FOTOCOPIAS,25300,4,1,10101501
FRASCO DE VIDRIO,39520,4,37,10101501
FRASCOS DE LAVADO,39520,4,1,10101501
FRASCOS DE VIDRIO AMBAR,39520,4,1,10101501
FUCSINA BÁSICA (CLORHIDRATO DE PARAROSANILINA),35100,29,1,10101501
FUENTES DE ALIMENTACIÓN,39300,4,1,10101501
GABACHAS,32310,4,1,10101501
GABINETE DE METAL (2 ENTREPANOS BLANCO),42110,4,64,10101501
GABINETE DE RACK,42110,4,112,10101501
GALLETAS,31110,4,1,10101501
GASAS ESTERILES,39530,24,1,10101501
GASTOS DE ESTADIAS,25900,4,149,10101501
GASTOS FINANCIEROS,25500,4,169,10101501
GEL DE MANOS,35100,23,1,10101501
GIEMSA,35251,29,1,10101501
GLOBOS,35800,4,1,10101501
GORRA,32310,4,117,10101501
GOTEROS,39520,4,1,10101501
GRABADORES DE VIDEOVIGILANCIA,42500,4,105,10101501
GRADILLA PARA TUBOS DE ENSAYO,39520,4,1,10101501
GRAPADORA,39200,4,1,10101501
GRAPAS,39200,24,1,10101501
GRAVA,37800,14,154,10101501
GRIFOS PARA LAVAMANOS,36930,4,1,10101501
GRIFOS PARA LAVATRASTOS,36930,4,1,10101501
GUANTES DE ACERO,36100,34,1,10101501
GUANTES DE CUERO,34100,34,1,10101501
GUANTES DE LATEX,39510,24,1,10101501
"GUANTES DESECHABLES DE POLIETILENO, USO ALIMENTARIO",35800,24,94,10101501
GUANTES DIELECTRICOS,34100,34,1,10101501
GUANTES PARA BUCEO,39800,34,35,10101501
GUITARRA,42720,4,1,10101501
GUITARRA 3 PUENTES,42720,4,1,10101501
GUITARRA ELECTRICA,42720,4,1,10101501
GUITARRA ELECTROACUSTICA,42720,4,1,10101501
HARINA DE CABEZA DE CAMARON,31200,16,1,10101501
HARINA DE TRIGO,31200,16,1,10101501
HEPTAMOLIBDATO DE AMONIOTETRAHIDRATADO,35100,29,1,10101501
HEXAMETILENOTETRAMINA,35100,29,1,10101501
HEXANO,35100,29,1,10101501
HIDRO LAVADORA DE PRESION ELECTRICA,42800,4,95,10101501
HIDRÓXIDO DE AMONIO,35100,29,1,10101501
HIDROXIDO DE POTASIO,35100,29,1,10101501
HIDROXIDO DE SODIO,35100,29,1,10101501
HILO PARA MOTOGUADAÑA,32100,39,177,31151504
HIPOCLORITO DE SODIO,35100,29,1,10101501
HISOPOS ESTÉRILES,35210,24,1,10101501
HOJA DE BISTURI,39520,24,1,10101501
HORNO LAB,42430,4,1,10101501
HUMIFICADOR,42140,4,118,10101501
IBUPROFENO,35210,24,1,10101501
IMPRESORA,42600,4,1,10101501
IMPUESTO SOBRE VENTA 15%,27114,4,141,10101501
INDICADOR ANARANJADO DE METILO,35100,29,1,10101501
INDICADOR FENOLFTALEINA,35100,29,1,10101501
INDICADOR VERDE DE BROMO CRESOL,35100,29,1,10101501
INFOGRAFIA,33300,4,71,10101501
INSCRIPCION CONGRESOS INTERNACIONALES,24500,4,1,10101501
INSTALACIÓN DE AIRE ACONDICIONADO (ELÉCTRICA Y MECÁNICA),23360,4,22,10101501
INSTALACION DE EQUIPO TECNOLOGICO,23390,4,102,10101501
INTERRUPTORES,39300,4,1,10101501
IODO POVIDONE,35210,29,1,10101501
JABÓN LIBRE DE FOSFORO,35930,4,1,10101501
JABON PARA LAVAPLATOS,39100,4,28,10101501
JERINGA,39530,24,37,10101501
JERINGAS O AGUJAS O JERINGAS CON AGUJAS DE USO ODONTOLOGICO,39550,4,59,10101501
